Statistical profiling result from v8.log, (13997 ticks, 10660 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10660   76.2%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     18    0.1%    0.1%  LazyCompile: *indexOf native string.js:118
     17    0.1%    0.1%  LazyCompile: closeAll /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     16    0.1%    0.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat-optimized/stores/MessageStore.js:55
     15    0.1%    0.1%  LazyCompile: assign /Volumes/Projects/react-perf/node_modules/react/lib/Object.assign.js:16
     14    0.1%    0.1%  LazyCompile: *standardReleaser /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     14    0.1%    0.1%  LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:56
     14    0.1%    0.1%  LazyCompile: *enqueuePutListener /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     14    0.1%    0.1%  LazyCompile: *TimeString native date.js:240
     13    0.1%    0.1%  LazyCompile: *oneArgumentPooler /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13    0.1%    0.1%  LazyCompile: *getReactMountReady /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13    0.1%    0.1%  LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13    0.1%    0.1%  LazyCompile: *SubString native string.js:205
     13    0.1%    0.1%  LazyCompile: *RouterMixin.getChildContext /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/RouterMixin.js:41
     13    0.1%    0.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:48
     12    0.1%    0.1%  Stub: ToBooleanStub_SmiSpecObjectString
     12    0.1%    0.1%  LazyCompile: renderToString /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12    0.1%    0.1%  LazyCompile: STRING_ADD_LEFT native runtime.js:183
     12    0.1%    0.1%  LazyCompile: *toTimeString native date.js:337
     12    0.1%    0.1%  LazyCompile: *getStore /Volumes/Projects/react-perf/node_modules/fluxible/node_modules/dispatchr/lib/Dispatcher.js:130
