Statistical profiling result from v8.log, (14146 ticks, 10645 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10645   75.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *ceil native math.js:79
      3    0.0%    0.0%  KeyedLoadIC: textarea
      3    0.0%    0.0%  KeyedLoadIC: args_count: 0 {4}
      2    0.0%    0.0%  LazyCompile: ~set /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat/components/ThreadListItem.jsx:30
      2    0.0%    0.0%  LazyCompile: ~mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: ~instantiateReactComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: ~getComponentKey /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: ~ReactElement.createElement /Volumes/Projects/node_modules/react/lib/ReactElement.js:149
      2    0.0%    0.0%  LazyCompile: ~Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: *isInTransaction /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: *getStateFromStores /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:39
      2    0.0%    0.0%  LazyCompile: *getState /Volumes/Projects/react-perf/chat/stores/ApplicationStore.js:20
      2    0.0%    0.0%  LazyCompile: *getMessageListItem /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:24
      2    0.0%    0.0%  LazyCompile: *getInitialState /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:35
      2    0.0%    0.0%  LazyCompile: *getCurrent /Volumes/Projects/react-perf/chat/stores/ThreadStore.js:54
      2    0.0%    0.0%  LazyCompile: *getComponentContext /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleContext.js:148
      2    0.0%    0.0%  LazyCompile: *getAllForCurrentThread /Volumes/Projects/react-perf/chat/stores/MessageStore.js:63
      2    0.0%    0.0%  LazyCompile: *ReactPropTransferer.mergeProps /Volumes/Projects/node_modules/react/lib/ReactPropTransferer.js:102
      2    0.0%    0.0%  LazyCompile: *ReactCompositeComponentWrapper /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    0.0%    0.0%  LazyCompile: *React.createClass.render /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleComponent.js:25
      2    0.0%    0.0%  KeyedStoreMegamorphicIC: args_count: 0
      2    0.0%    0.0%  KeyedStoreIC: args_count: 0 {5}
      1    0.0%    0.0%  Script: ~/Volumes/Projects/react-perf/node_modules/babel/lib/babel/transformation/transformers/es6/properties.computed.js
      1    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/react/react-with-addons.js:1
